committee,date,institute,publication_date,document_url,document_title,day_of_year,notes
"NIGMS Initial Review Group, Training and Workforce Development SubcommitteeâD.","March 11, 2016.",NIGMS,2016-02-12,https://www.federalregister.gov/documents/2016/02/12/2016-02853/national-institute-of-general-medical-sciences-notice-of-closed-meeting,National Institute of General Medical Sciences; Notice of Closed Meeting,43,
Center for Scientific Review Special Emphasis Panel; Member Conflict: Biological Chemistry and Macromolecular Biophysics.,"March 1, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02972/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,47,
Center for Scientific Review Special Emphasis Panel; PAR Panel: Investigations on Primary Immunodeficiency Diseases.,"March 3, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02972/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,47,
Center for Scientific Review Special Emphasis Panel; PAR Review: Synthetic Psychoactive Drugs and Strategic Approaches to Counteract Their Deleterious Effects.,"March 4, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02972/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,47,
Center for Scientific Review Special Emphasis Panel; Special Topic: Social Sciences and Population Studies.,"February 23, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02973/center-for-scientific-review-notice-of-closed-meeting,Center for Scientific Review; Notice of Closed Meeting,47,
"AIDS and Related Research Integrated Review Group, AIDS Discovery and Development of Therapeutics Study Section.","March 8, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02974/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,47,
"Center for Scientific Review Special Emphasis Panel, Infectious Diseases and Microbiology.","March 8, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02974/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,47,
"Center for Scientific Review Special Emphasis Panel, AREA application in Infectious Diseases and Microbiology.","March 8, 2016.",NIH,2016-02-16,https://www.federalregister.gov/documents/2016/02/16/2016-02974/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,47,
"Center for Scientific Review Special Emphasis Panel, PAR-14-166: Early Phase Clinical Trials in Imaging and Image-Guided Interventions (R01).","February 29, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
"Center for Scientific Review Special Emphasis Panel, Topics in Bacterial Pathogenesis.","March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; Small Business: Digestive Sciences.,"March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; Fellowships: Physiology and Pathobiology of Cardiovascular and Respiratory Systems.,"March 9-10, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
"Center for Scientific Review Special Emphasis Panel, Brain Injury and Recovery.","March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; PAR Panel: Differentiation and Integration of Stem Cells (Embryonic and Induced-Pluripotent) Into Developing or Damaged Tissues.,"March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel PAR Panel: Differentiation and Integration of Stem Cells (Embryonic and Induced-Pluripotent) Into Developing or Damaged Tissues.,"March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
AIDS and Related Research Integrated Review Group; Behavioral and Social Consequences of HIV/AIDS Study Section.,"March 9-10, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; PAR15-326: ImagingâScience Track Award for Research.,"March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; Member Conflict: Radiation Biology and Therapeutics.,"March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
AIDS and Related Research Integrated Review Group; AIDS Clinical Studies and Epidemiology Study Section.,"March 10-11, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; Fellowships: Synthetic and Biological Chemistry.,"March 10-11, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03120/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel Career Development Program in Emergency Care Research (K12).","March 10, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03121/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel Pathophysiology and Treatment of Bicuspid Aortic Valve Disease.","March 11, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03121/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel; Collaborative Projects in Organ Fibrosis.","March 8, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03122/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel; Small Business Point of Care.","March 9, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03122/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel; Small Business Point of Care.","March 9-10, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03122/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel Atherosclerosis Risk in Communities (ARIC) StudyâCoordinating Center.","March 8, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03123/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
"National Heart, Lung, and Blood Institute Special Emphasis Panel Atherosclerosis Risk in Communities (ARIC) StudyâField Centers.","March 8, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03123/national-heart-lung-and-blood-institute-notice-of-closed-meetings,"National Heart, Lung, and Blood Institute; Notice of Closed Meetings",48,
National Cancer Institute Special Emphasis Panel; Omnibus SEP-12.,"March 15, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03124/national-cancer-institute-notice-of-closed-meetings,National Cancer Institute; Notice of Closed Meetings,48,
National Cancer Institute Special Emphasis Panel; Planning Grants for Global Research Infrastructure in Non-Communicable Disease.,"April 27-28, 2016.",NIH,2016-02-17,https://www.federalregister.gov/documents/2016/02/17/2016-03124/national-cancer-institute-notice-of-closed-meetings,National Cancer Institute; Notice of Closed Meetings,48,
Center for Scientific Review Special Emphasis Panel; PAR 13-080: Accelerating the Pace of Drug Abuse Research Using Existing Data.,"March 2, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; PAR 13-080: Accelerating the Pace of Drug Abuse Research Using Existing Data: Additional Applications.,"March 2, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; Small Business: Medical Imaging.,"March 10-11, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; Fellowships: Brain Disorders and Related Neurosciences.,"March 10-11, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
"Center for Scientific Review Special Emphasis Panel; Small Business: Biomedical Sensing, Measurement and Instrumentation.","March 10, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; Small Business: Non-HIV Microbial Vaccines.,"March 10, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
"Center for Scientific Review Special Emphasis Panel; Small Business: Aging and Development, Auditory, Vision and Low Vision Technologies.","March 10-11, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
"Center for Scientific Review Special Emphasis Panel; Small Business: Bioanalytical Chemistry, Biophysics, and Assay Development.","March 10, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; Member Conflict: Cellular and Molecular Immunology.,"March 10, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; Small Business: Cardiovascular and Surgical Devices.,"March 11, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; RFA Panel: Molecular and Cellular Substrates of Complex Brain Disorders.,"March 11, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
Center for Scientific Review Special Emphasis Panel; New R21 Applications for Microbial Diseases.,"March 11, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03233/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,49,
National Institute of Allergy and Infectious Diseases Special Emphasis Panel; Asthma and Allergic Diseases Cooperative Research Centers (U19).,"March 15-17, 2016.",NIAID,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03234/national-institute-of-allergy-and-infectious-diseases-notice-of-closed-meetings,National Institute of Allergy and Infectious Diseases; Notice of Closed Meetings,49,
"National Institute of Allergy and Infectious Diseases Special Emphasis Panel; NIAID Clinical Trial Planning Grant (R34), Implementation Grant (R01) and Cooperative Agreement (U01).","March 15, 2016.",NIAID,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03234/national-institute-of-allergy-and-infectious-diseases-notice-of-closed-meetings,National Institute of Allergy and Infectious Diseases; Notice of Closed Meetings,49,
National Eye Institute Special Emphasis Panel; NEI Research Project Grant Applications.,"March 10, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03235/national-eye-institute-notice-of-closed-meeting,National Eye Institute; Notice of Closed Meeting,49,
National Institute of Dental and Craniofacial Research Special Emphasis Panel; Review of Applications for NIDCR Clinical Trial or Biomarker Clinical Validation Study Planning Grant (R34).,"March 11, 2016.",NIDCR,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03236/national-institute-of-dental-and-craniofacial-research-notice-of-closed-meeting,National Institute of Dental & Craniofacial Research; Notice of Closed Meeting,49,
National Institute on Aging Special Emphasis Panel; Sensory Deficits in Osteoporotic Study.,"March 15, 2016.",NIH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03237/national-institute-on-aging-notice-of-closed-meeting,"National Institute on Aging, Notice of Closed Meeting",49,
"National Institute of Mental Health Special Emphasis Panel; Clinical Trials to Test the Effectiveness of Treatment, Preventive and Services Interventions.","March 4, 2016.",NIMH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03238/national-institute-of-mental-health-notice-of-closed-meetings,National Institute of Mental Health; Notice of Closed Meetings,49,
National Institute of Mental Health Special Emphasis Panel; Mental Health Services Conflicts.,"March 9, 2016.",NIMH,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03238/national-institute-of-mental-health-notice-of-closed-meetings,National Institute of Mental Health; Notice of Closed Meetings,49,
National Institute of Environmental Health Sciences Special Emphasis Panel; Time Sensitive Exploratory/Developmental Research Award.,"February 29, 2016.",NIEHS,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03239/national-institute-of-environmental-health-sciences-notice-of-closed-meetings,National Institute of Environmental Health Sciences; Notice of Closed Meetings,49,
National Institute of Environmental Health Sciences Special Emphasis Panel; R13 Superfund Associated Conference Grant Applications.,"March 1, 2016.",NIEHS,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03239/national-institute-of-environmental-health-sciences-notice-of-closed-meetings,National Institute of Environmental Health Sciences; Notice of Closed Meetings,49,
National Institute of Environmental Health Sciences Special Emphasis Panel; SRP Research Careers in Emerging Technologies.,"March 7, 2016.",NIEHS,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03239/national-institute-of-environmental-health-sciences-notice-of-closed-meetings,National Institute of Environmental Health Sciences; Notice of Closed Meetings,49,
National Institute on Alcohol Abuse and Alcoholism Special Emphasis Panel; Multi-Site Randomized Controlled Clinical Trial Research Center on Alcohol's Health Effects (U10).,"March 29, 2016.",NIAAA,2016-02-18,https://www.federalregister.gov/documents/2016/02/18/2016-03240/national-institute-on-alcohol-abuse-and-alcoholism-notice-of-closed-meeting,National Institute on Alcohol Abuse and Alcoholism; Notice of Closed Meeting,49,
NIGMS Initial Review Group; Training and Workforce Development SubcommitteeâB.,"March 17, 2016.",NIGMS,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03414/national-institute-of-general-medical-sciences-notice-of-closed-meetings,National Institute of General Medical Sciences; Notice of Closed Meetings,50,
NIGMS Initial Review Group; Training and Workforce Development SubcommitteeâA.,"March 22, 2016.",NIGMS,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03414/national-institute-of-general-medical-sciences-notice-of-closed-meetings,National Institute of General Medical Sciences; Notice of Closed Meetings,50,
National Eye Institute Special Emphasis Panel; NEI Center Core Grants for Vision Research.,"March 14, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03415/national-eye-institute-notice-of-closed-meetings,National Eye Institute; Notice of Closed Meetings,50,
"National Eye Institute Special Emphasis Panel, NEI Mentored Training Grant Applications (K08).","March 15-16, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03415/national-eye-institute-notice-of-closed-meetings,National Eye Institute; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; Bioengineering Sciences Member Conflict.,"March 8, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
"Center for Scientific Review Special Emphasis Panel; Small Business: Biomaterials, Delivery, and Nanotechnology.","March 10, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; RFA-GM-16-003: Maximizing Investigators' Research Award for New and Early Stage Investigators (R35).,"March 14-15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; RFA-GM-16-003: Maximizing Investigators' Research Award for New and Early Stage Investigators (R35).,"March 14-15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
"Center for Scientific Review Special Emphasis Panel; Small Business: Drug Discovery for Aging, Neuropsychiatric and Neurologic Disorders.","March 14-15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
AIDS and Related Research Integrated Review Group; Behavioral and Social Science Approaches to Preventing HIV/AIDS Study Section.,"March 14-15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
"Center for Scientific Review Special Emphasis Panel; Small Business: Biological Chemistry, Biophysics and Drug Discovery.","March 14, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; PAR-15-308: Innovative Basic Research on Adducts in Cancer Risk Identification and Prevention.,"March 14, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; Member Conflict: Kidney and Urology.,"March 15-16, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
AIDS and Related Research Integrated Review Group; HIV/AIDS Vaccines Study Section.,"March 15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; Small Business: Orthopedic and Skeletal Biology.,"March 15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
Center for Scientific Review Special Emphasis Panel; Small Business: Radiation Therapy and Biology.,"March 15-16, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
"Center for Scientific Review Special Emphasis Panel; Small Business: Dermatology, Rheumatology and Inflammation.","March 15, 2016.",NIH,2016-02-19,https://www.federalregister.gov/documents/2016/02/19/2016-03416/center-for-scientific-review-notice-of-closed-meetings,Center For Scientific Review; Notice of Closed Meetings,50,
National Institute of Diabetes and Digestive and Kidney Diseases Special Emphasis Panel; NIDDK Cooperative Hematology Specialized Core Centers.,"March 14-15, 2016",NIDDKD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03509/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings,National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meetings,53,
National Institute of Diabetes and Digestive and Kidney Diseases Special Emphasis Panel; Mouse Metabolic Phenotyping Centers Consortium.,"March 14-15, 2016.",NIDDKD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03509/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings,National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meetings,53,
National Institute of Diabetes and Digestive and Kidney Diseases Special Emphasis Panel; R24 Molecular Basis of Diabetic Complications.,"March 23, 2016.",NIDDKD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03509/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings,National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meetings,53,
National Institute of Diabetes and Digestive and Kidney Diseases Special Emphasis Panel; NIDDK Ancillary Studies (R01).,"March 24, 2016.",NIDDKD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03509/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings,National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meetings,53,
National Institute of Diabetes and Digestive and Kidney Diseases Special Emphasis Panel; Ancillary Studies in Liver Diseases.,"April 4, 2016.",NIDDKD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03509/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings,National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meetings,53,
National Institute of Diabetes and Digestive and Kidney Diseases Special Emphasis Panel; R24 Review.,"April 8, 2016.",NIDDKD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03509/national-institute-of-diabetes-and-digestive-and-kidney-diseases-notice-of-closed-meetings,National Institute of Diabetes and Digestive and Kidney Diseases; Notice of Closed Meetings,53,
National Institute on Minority Health and Health Disparities Special Emphasis Panel; Building Population Health Research Capacity in the U.S. Affiliated Pacific Island (U24).,"March 8, 2016.",NIMHHD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03510/national-institute-on-minority-health-and-health-disparities-notice-of-closed-meeting,National Institute on Minority Health and Health Disparities; Notice of Closed Meeting,53,
"National Institute on Minority Health and Health Disparities Special Emphasis Panel, Conference Grant Special Emphasis Panel.","February 29, 2016.",NIMHHD,2016-02-22,https://www.federalregister.gov/documents/2016/02/22/2016-03511/national-institute-on-minority-health-and-health-disparities-notice-of-closed-meeting,National Institute on Minority Health and Health Disparities; Notice of Closed Meeting,53,
National Institute on Aging Special Emphasis Panel; Phase III Clinical Trials for AD.,"March 14, 2016.",NIA,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03635/national-institute-on-aging-notice-of-closed-meeting,National Institute on Aging; Notice of Closed Meeting,54,
National Institute of General Medical Sciences Special Emphasis Panel.,"March 15, 2016.",NIGMS,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03636/national-institute-of-general-medical-sciences-notice-of-closed-meeting,National Institute of General Medical Sciences; Notice of Closed Meeting,54,
National Institute of General Medical Sciences Special Emphasis Panel.,"March 28, 2016.",NIGMS,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03637/national-institute-of-general-medical-sciences-notice-of-closed-meeting,National Institute of General Medical Sciences; Notice of Closed Meeting,54,
National Center for Advancing Translational Sciences Special Emphasis Panel; NCATS Conference Grants.,"March 14, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03643/national-center-for-advancing-translational-sciences-notice-of-closed-meeting,National Center For Advancing Translational Sciences; Notice of Closed Meeting,54,
"Center for Scientific Review Special Emphasis PanelâNeural Differentiation, Plasticity, and Regeneration SEP.","March 2, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03644/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel Implementation Science for HIV/AIDS.,"March 4, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03644/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
"Center for Scientific Review Special Emphasis Panel; Member Conflict: Ethology, Addiction and Development.","March 14, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel; Small Business: Cardiovascular Sciences.,"March 17-18, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
"Center for Scientific Review Special Emphasis Panel; Small Business: Endocrinology, Metabolism, Nutrition, and Reproductive Sciences.","March 17, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel; PAR15-359: Biomarker Studies for Diagnosing Alzheimer's Disease and Predicting Progression.,"March 17, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel; Small Business: Respiratory Sciences.,"March 17-18, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel; Fellowships: Behavioral Neuroscience.,"March 17-18, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel; Bioengineering Sciences and Technologies: AREA (R15) Review.,"March 17, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
"Center for Scientific Review Special Emphasis Panel; Small Business: Clinical Neurophysiology, Devices, Neuroprosthetics, and Biosensors.","March 17-18, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
"Center for Scientific Review Special Emphasis Panel; Small Business: Risk, Prevention and Health Behavior.","March 17-18, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
Center for Scientific Review Special Emphasis Panel; RFA-OD15-006: Abuse Liability Associated with Reduced Nicotine Content Tobacco Products.,"March 17-18, 2016.",NIH,2016-02-23,https://www.federalregister.gov/documents/2016/02/23/2016-03645/center-for-scientific-review-notice-of-closed-meetings,Center for Scientific Review; Notice of Closed Meetings,54,
